asset_id,source_package,original_path,file_name,file_ext,file_size,content_hash,category,target_module,convert_required,parse_status,parse_error
A000001,single_file,C:\Users\21403\Desktop\医保飞检智能检索_H5_MVP_架构设计方案_v2_规则代码化_RAG版.md,医保飞检智能检索_H5_MVP_架构设计方案_v2_规则代码化_RAG版.md,.md,32688,b1199cebe111b8b1d803617830be9241afc5c33796fe29ce011417b86f8efe4a,policy_document,rag_knowledge_base,no,raw_registered,
A000004,政策文件（本省）.zip,政策文件（本省）/价格招采处/11.14青海省医保局办公室关于执行河南十七省等4批省际联盟药品集中带量采购中选结果的通知（青医保办发〔2025〕54 号）.pdf,11.14青海省医保局办公室关于执行河南十七省等4批省际联盟药品集中带量采购中选结果的通知（青医保办发〔2025〕54 号）.pdf,.pdf,1591762,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3970142701,policy_document,rag_knowledge_base,no,raw_registered,
A000005,政策文件（本省）.zip,政策文件（本省）/价格招采处/2.13关于执行安徽联盟二十五省（区、兵团）2023年体外诊断试剂等9类医用耗材集中带量采购中选结果的通知（青医保局函〔2025〕号）.pdf,2.13关于执行安徽联盟二十五省（区、兵团）2023年体外诊断试剂等9类医用耗材集中带量采购中选结果的通知（青医保局函〔2025〕号）.pdf,.pdf,2235966,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3266286557,policy_document,rag_knowledge_base,no,raw_registered,
A000006,政策文件（本省）.zip,政策文件（本省）/价格招采处/2025.3.12关于规范医用耗材和体外诊断试剂阳光挂网价格及采购要求的通知（青医保局函〔2025〕25号）.pdf,2025.3.12关于规范医用耗材和体外诊断试剂阳光挂网价格及采购要求的通知（青医保局函〔2025〕25号）.pdf,.pdf,1237024,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3228933433,policy_document,rag_knowledge_base,no,raw_registered,
A000007,政策文件（本省）.zip,政策文件（本省）/价格招采处/20250623关于执行外周血管介入导引通路等7类医用耗材集中带量采购中选产品的通知（青医保办发〔2025〕37号）.pdf,20250623关于执行外周血管介入导引通路等7类医用耗材集中带量采购中选产品的通知（青医保办发〔2025〕37号）.pdf,.pdf,2199571,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:1396935968,policy_document,rag_knowledge_base,no,raw_registered,
A000008,政策文件（本省）.zip,政策文件（本省）/价格招采处/2026.2.3关于执行安徽省际联盟2024年肿瘤标志物和甲状腺功能检测体外诊断试剂集中带量采购中选结果的通知（青医保办发〔2026〕4号） .pdf,2026.2.3关于执行安徽省际联盟2024年肿瘤标志物和甲状腺功能检测体外诊断试剂集中带量采购中选结果的通知（青医保办发〔2026〕4号） .pdf,.pdf,1819114,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:405509910,policy_document,rag_knowledge_base,no,raw_registered,
A000009,政策文件（本省）.zip,政策文件（本省）/价格招采处/2026.2.3关于明确2026年深化医药价格治理重点工作的函.pdf,2026.2.3关于明确2026年深化医药价格治理重点工作的函.pdf,.pdf,1793932,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3544003922,policy_document,rag_knowledge_base,no,raw_registered,
A000010,政策文件（本省）.zip,政策文件（本省）/价格招采处/2026.2.6关于执行第十一批国家组织药品集中采购中选品种和部分省际联盟药品协议期满接续采购中选结果的通知（青医保办发〔2026〕6号.pdf,2026.2.6关于执行第十一批国家组织药品集中采购中选品种和部分省际联盟药品协议期满接续采购中选结果的通知（青医保办发〔2026〕6号.pdf,.pdf,2091592,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:1045770857,policy_document,rag_knowledge_base,no,raw_registered,
A000011,政策文件（本省）.zip,政策文件（本省）/价格招采处/20260319关于执行1-8批国家组织药品集采协议期满品种接续采购中选结果的通知（青医保办发〔2026〕13号.pdf,20260319关于执行1-8批国家组织药品集采协议期满品种接续采购中选结果的通知（青医保办发〔2026〕13号.pdf,.pdf,1927953,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3334365061,policy_document,rag_knowledge_base,no,raw_registered,
A000012,政策文件（本省）.zip,政策文件（本省）/价格招采处/20260511关于执行国家组织药物涂层球囊类、泌尿介入类医用耗材等12类医用耗材集中带量采购中选结果的通知（青医保办发〔2026〕32号）.pdf,20260511关于执行国家组织药物涂层球囊类、泌尿介入类医用耗材等12类医用耗材集中带量采购中选结果的通知（青医保办发〔2026〕32号）.pdf,.pdf,2934615,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:1324770608,policy_document,rag_knowledge_base,no,raw_registered,
A000013,政策文件（本省）.zip,政策文件（本省）/价格招采处/3.10关于执行人工耳蜗等4类医用耗材集中带量采购中选结果的通知（青医保局函〔2025〕21号）.pdf,3.10关于执行人工耳蜗等4类医用耗材集中带量采购中选结果的通知（青医保局函〔2025〕21号）.pdf,.pdf,2433344,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:968313861,policy_document,rag_knowledge_base,no,raw_registered,
A000014,政策文件（本省）.zip,政策文件（本省）/价格招采处/5.20关于执行国家组织外周血管支架及省际联盟外周血管介入类等17类医用耗材集中带量采购中选结果的通知（青医保办发〔2025〕29号）.pdf,5.20关于执行国家组织外周血管支架及省际联盟外周血管介入类等17类医用耗材集中带量采购中选结果的通知（青医保办发〔2025〕29号）.pdf,.pdf,2920393,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:854850145,policy_document,rag_knowledge_base,no,raw_registered,
A000015,政策文件（本省）.zip,政策文件（本省）/价格招采处/5.20青海省医保局办公室关于执行全国中成药联盟采购等5批省际联盟药品集中带量采购中选结果的通知（青医保办发〔2025〕28 号）.pdf,5.20青海省医保局办公室关于执行全国中成药联盟采购等5批省际联盟药品集中带量采购中选结果的通知（青医保办发〔2025〕28 号）.pdf,.pdf,2710870,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:1772333337,policy_document,rag_knowledge_base,no,raw_registered,
A000016,政策文件（本省）.zip,政策文件（本省）/价格招采处/《关于推进药品和医用耗材集中采购工作中医保资金结余留用与医保支付方式改革相衔接的通知》（青医保局发〔2025〕34号）.pdf,《关于推进药品和医用耗材集中采购工作中医保资金结余留用与医保支付方式改革相衔接的通知》（青医保局发〔2025〕34号）.pdf,.pdf,1636674,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:1971998829,policy_document,rag_knowledge_base,no,raw_registered,
A000017,政策文件（本省）.zip,政策文件（本省）/价格招采处/关于做好广东联盟双氯芬酸等药品集中带量采购第二年续签中选产品清单采购使用工作的通知青医保局函〔2024〕22号.pdf,关于做好广东联盟双氯芬酸等药品集中带量采购第二年续签中选产品清单采购使用工作的通知青医保局函〔2024〕22号.pdf,.pdf,1489444,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:114952238,policy_document,rag_knowledge_base,no,raw_registered,
A000018,政策文件（本省）.zip,政策文件（本省）/价格招采处/关于执行中药配方颗粒集中带量采购中选结果的通知（青医保局函〔2024〕79号）.pdf,关于执行中药配方颗粒集中带量采购中选结果的通知（青医保局函〔2024〕79号）.pdf,.pdf,1700763,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:501020256,policy_document,rag_knowledge_base,no,raw_registered,
